images ,Labels ,Root,Leaf,Flower ,seed,Fruit,Stem,gonorrhea,wound,Eye disease,Anti-cancer,Anti-Oxidant,abdominal pain,Lung disease,common Cold,Snakebite,stomachache,influenza
absh_0,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_1,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_2,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_3,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_4,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_5,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_6,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_7,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_8,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_9,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_10,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_11,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_12,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_13,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_14,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_15,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_16,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_17,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_18,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_19,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_20,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_21,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_22,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_23,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_24,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_25,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_26,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_27,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_28,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_29,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_30,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_31,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_32,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_33,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
absh_34,"['seed','wound','abdominal pain']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
